name,player_link,position,age,nation,club,league,matches,goals,assists,points(goals+assists),value
Juan Otero,https://www.transfermarkt.com/juan-otero/profil/spieler/332305,Right Winger,29,Colombia,,,37,12,1,13,€2.00m
Brandon Bokangu,https://www.transfermarkt.com/brandon-bokangu/profil/spieler/864769,Right Winger,24,"DR Congo, France",,,27,12,1,13,€300k
Cerem Dinçer,https://www.transfermarkt.com/cerem-dincer/profil/spieler/365040,Right Winger,27,Türkiye,,,28,12,1,13,€175k
Dodi Lukébakio,https://www.transfermarkt.com/dodi-lukebakio/profil/spieler/303259,Right Winger,26,"Belgium, DR Congo",,,39,11,2,13,€20.00m
Daniil Agureev,https://www.transfermarkt.com/daniil-agureev/profil/spieler/654295,Right Winger,25,Russia,,,35,11,2,13,€300k
Süleyman Güneş,https://www.transfermarkt.com/suleyman-gunes/profil/spieler/417199,Right Winger,27,Türkiye,,,32,11,2,13,€150k
Virgil Tjin-Asjoe,https://www.transfermarkt.com/virgil-tjin-asjoe/profil/spieler/533258,Right Winger,30,"Netherlands, Suriname",,,35,11,2,13,-
Azeddine Sout,https://www.transfermarkt.com/azeddine-sout/profil/spieler/725784,Right Winger,25,Netherlands,,,31,10,3,13,-
Alexis Saelemaekers,https://www.transfermarkt.com/alexis-saelemaekers/profil/spieler/381950,Right Winger,25,Belgium,,,25,7,6,13,€17.00m
Gelson Martins,https://www.transfermarkt.com/gelson-martins/profil/spieler/257448,Right Winger,29,"Portugal, Cape Verde",,,26,6,7,13,€3.00m
David Sambissa,https://www.transfermarkt.com/david-sambissa/profil/spieler/243744,Right Winger,28,"Gabon, France",,,39,5,8,13,€400k
Marco Rosafio,https://www.transfermarkt.com/marco-rosafio/profil/spieler/199722,Right Winger,30,"Italy, Switzerland",,,29,5,8,13,€275k
Aleksandr Nosov,https://www.transfermarkt.com/aleksandr-nosov/profil/spieler/230950,Right Winger,29,Russia,,,38,4,9,13,€250k
Milot Rashica,https://www.transfermarkt.com/milot-rashica/profil/spieler/291739,Right Winger,28,"Kosovo, Albania",,,33,3,10,13,€6.50m
Samed Kaya,https://www.transfermarkt.com/samed-kaya/profil/spieler/213366,Right Winger,28,Türkiye,,,29,11,1,12,€150k
Théo Bongonda,https://www.transfermarkt.com/theo-bongonda/profil/spieler/280701,Right Winger,28,"DR Congo, Belgium",,,34,8,4,12,€6.00m
Ivan Oleynikov,https://www.transfermarkt.com/ivan-oleynikov/profil/spieler/371627,Right Winger,25,Russia,,,30,6,6,12,€1.40m
Jonny Smith,https://www.transfermarkt.com/jonny-smith/profil/spieler/424414,Right Winger,26,"England, Ireland",,,40,6,6,12,€250k
Thomas Mayer,https://www.transfermarkt.com/thomas-mayer/profil/spieler/159584,Right Winger,28,Austria,,,29,6,6,12,€175k
Deian Sorescu,https://www.transfermarkt.com/deian-sorescu/profil/spieler/379209,Right Winger,26,Romania,,,36,5,7,12,€2.00m
Aly Malle,https://www.transfermarkt.com/aly-malle/profil/spieler/398809,Right Winger,26,"Mali, Mauritania",,,26,5,7,12,€400k
Javi Moreno,https://www.transfermarkt.com/javi-moreno/profil/spieler/413506,Right Winger,27,Spain,,,37,5,7,12,€300k
Anders Dreyer,https://www.transfermarkt.com/anders-dreyer/profil/spieler/342389,Right Winger,26,Denmark,,,21,4,8,12,€9.00m
Allan Eleouet,https://www.transfermarkt.com/allan-eleouet/profil/spieler/247728,Right Winger,29,"Switzerland, France",,,30,3,9,12,€25k
Christian Fassnacht,https://www.transfermarkt.com/christian-fassnacht/profil/spieler/250490,Right Winger,30,Switzerland,,,23,11,0,11,€2.00m
Mehdi Bounou,https://www.transfermarkt.com/mehdi-bounou/profil/spieler/460072,Right Winger,26,"Belgium, Morocco",,,30,11,0,11,-
Jorge de Frutos,https://www.transfermarkt.com/jorge-de-frutos/profil/spieler/455181,Right Winger,27,Spain,,,39,8,3,11,€4.00m
Phil Foden,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,Right Winger,24,England,,,36,7,4,11,€100.00m
Zakaria Aboukhlal,https://www.transfermarkt.com/zakaria-aboukhlal/profil/spieler/393238,Right Winger,24,"Morocco, Netherlands",,,27,7,4,11,€12.00m
Andrija Zivkovic,https://www.transfermarkt.com/andrija-zivkovic/profil/spieler/206843,Right Winger,27,Serbia,,,23,7,4,11,€8.00m
Morgan Guilavogui,https://www.transfermarkt.com/morgan-guilavogui/profil/spieler/691786,Right Winger,26,"Guinea, France",,,27,7,4,11,€4.00m
Alban Ajdini,https://www.transfermarkt.com/alban-ajdini/profil/spieler/511801,Right Winger,24,"Kosovo, Switzerland",,,35,7,4,11,€900k
Cain Seedorf,https://www.transfermarkt.com/cain-seedorf/profil/spieler/473170,Right Winger,24,"Netherlands, Suriname",,,23,7,4,11,€325k
Ramien Safi,https://www.transfermarkt.com/ramien-safi/profil/spieler/600414,Right Winger,24,"Netherlands, Netherlands",,,38,7,4,11,€300k
Bertrand Traoré,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996,Right Winger,28,Burkina Faso,,,34,6,5,11,€8.00m
Romain Del Castillo,https://www.transfermarkt.com/romain-del-castillo/profil/spieler/353399,Right Winger,28,"France, Spain",,,27,6,5,11,€7.00m
Gabriel Strefezza,https://www.transfermarkt.com/gabriel-strefezza/profil/spieler/457673,Right Winger,27,"Brazil, Italy",,,38,6,5,11,€6.00m
Jeppe Erenbjerg,https://www.transfermarkt.com/jeppe-erenbjerg/profil/spieler/543302,Right Winger,24,Denmark,,,30,6,5,11,€1.00m
Suat Kaya,https://www.transfermarkt.com/suat-kaya/profil/spieler/511115,Right Winger,25,Türkiye,,,26,6,5,11,€325k
Pedro Neto,https://www.transfermarkt.com/pedro-neto/profil/spieler/487465,Right Winger,24,Portugal,,,38,5,6,11,€50.00m
Carlos Vicente,https://www.transfermarkt.com/carlos-vicente/profil/spieler/540536,Right Winger,25,Spain,,,38,5,6,11,€10.00m
Kiril Despodov,https://www.transfermarkt.com/kiril-despodov/profil/spieler/221540,Right Winger,27,Bulgaria,,,27,5,6,11,€8.00m
Rubén García,https://www.transfermarkt.com/ruben-garcia/profil/spieler/213260,Right Winger,30,Spain,,,40,5,6,11,€2.00m
Savvas Mourgos,https://www.transfermarkt.com/savvas-mourgos/profil/spieler/340323,Right Winger,26,Greece,,,21,5,6,11,€500k
Davide Lamesta,https://www.transfermarkt.com/davide-lamesta/profil/spieler/689090,Right Winger,24,Italy,,,34,5,6,11,€500k
Ramazan Gadzhimuradov,https://www.transfermarkt.com/ramazan-gadzhimuradov/profil/spieler/585013,Right Winger,26,Russia,,,34,5,6,11,€450k
Rayco Rodríguez,https://www.transfermarkt.com/rayco-rodriguez/profil/spieler/386150,Right Winger,27,Spain,,,36,4,7,11,€250k
Winfred Amoah,https://www.transfermarkt.com/winfred-amoah/profil/spieler/394020,Right Winger,24,Austria,,,30,4,7,11,€250k
David Neres,https://www.transfermarkt.com/david-neres/profil/spieler/469822,Right Winger,27,Brazil,,,30,3,8,11,€30.00m
Levan Shengelia,https://www.transfermarkt.com/levan-shengelia/profil/spieler/329630,Right Winger,28,Georgia,,,30,3,8,11,€750k
Adama Traoré,https://www.transfermarkt.com/adama-traore/profil/spieler/204103,Right Winger,28,"Spain, Mali",,,41,2,9,11,€9.00m
Davide Merola,https://www.transfermarkt.com/davide-merola/profil/spieler/357998,Right Winger,24,Italy,,,30,9,1,10,€700k
Bojan Djordjic,https://www.transfermarkt.com/bojan-djordjic/profil/spieler/202745,Right Winger,30,"Serbia, Bosnia-Herzegovina",,,26,8,2,10,€175k
Fatih Bektaş,https://www.transfermarkt.com/fatih-bektas/profil/spieler/588110,Right Winger,24,Türkiye,,,33,8,2,10,€150k
Alexander Bernhardsson,https://www.transfermarkt.com/alexander-bernhardsson/profil/spieler/633454,Right Winger,25,Sweden,,,20,7,3,10,€3.00m
Giovanni Korte,https://www.transfermarkt.com/giovanni-korte/profil/spieler/234910,Right Winger,30,Netherlands,,,33,7,3,10,€275k
Ibrahim Sadiq,https://www.transfermarkt.com/ibrahim-sadiq/profil/spieler/543501,Right Winger,24,Ghana,,,21,6,4,10,€3.50m
Chadrac Akolo,https://www.transfermarkt.com/chadrac-akolo/profil/spieler/247459,Right Winger,29,DR Congo,,,32,6,4,10,€1.00m
Alfonso Trezza,https://www.transfermarkt.com/alfonso-trezza/profil/spieler/741517,Right Winger,25,"Uruguay, Italy",,,35,6,4,10,€1.00m
Ahmet Engin,https://www.transfermarkt.com/ahmet-engin/profil/spieler/193612,Right Winger,27,"Türkiye, Germany",,,35,6,4,10,€400k
Ivan Selemenev,https://www.transfermarkt.com/ivan-selemenev/profil/spieler/407897,Right Winger,27,Russia,,,37,6,4,10,€200k
Mert Örnek,https://www.transfermarkt.com/mert-ornek/profil/spieler/330878,Right Winger,27,Türkiye,,,32,6,4,10,€175k
Noah Sarenren Bazee,https://www.transfermarkt.com/noah-sarenren-bazee/profil/spieler/283001,Right Winger,27,"Germany, Nigeria",,,29,5,5,10,€400k
Brahim Díaz,https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678,Right Winger,24,"Morocco, Spain",,,39,4,6,10,€40.00m
Yusuf Sarı,https://www.transfermarkt.com/yusuf-sari/profil/spieler/517376,Right Winger,25,"Türkiye, France",,,32,4,6,10,€3.80m
Maurice Multhaup,https://www.transfermarkt.com/maurice-multhaup/profil/spieler/187496,Right Winger,27,Germany,,,25,4,6,10,€350k
Muhamed Varela Djamanca,https://www.transfermarkt.com/muhamed-varela-djamanca/profil/spieler/406942,Right Winger,26,"Portugal, Guinea-Bissau",,,33,4,6,10,€200k
David Akintola,https://www.transfermarkt.com/david-akintola/profil/spieler/353775,Right Winger,28,Nigeria,,,36,3,7,10,€1.40m
Mertcan Açıkgöz,https://www.transfermarkt.com/mertcan-acikgoz/profil/spieler/461944,Right Winger,24,Türkiye,,,34,9,0,9,€150k
Georgios Pamlidis,https://www.transfermarkt.com/georgios-pamlidis/profil/spieler/336104,Right Winger,30,Greece,,,20,7,2,9,€200k
Antonio Energe,https://www.transfermarkt.com/antonio-energe/profil/spieler/465222,Right Winger,24,Italy,,,24,7,2,9,€200k
Luca Petrungaro,https://www.transfermarkt.com/luca-petrungaro/profil/spieler/457243,Right Winger,24,Italy,,,33,7,2,9,€175k
Marvin Louisius,https://www.transfermarkt.com/marvin-louisius/profil/spieler/344594,Right Winger,24,"France, Martinique",,,30,7,2,9,€50k
Jason Remeseiro,https://www.transfermarkt.com/jason-remeseiro/profil/spieler/263860,Right Winger,29,Spain,,,34,6,3,9,€2.50m
Zelimkhan Bakaev,https://www.transfermarkt.com/zelimkhan-bakaev/profil/spieler/279242,Right Winger,28,Russia,,,28,6,3,9,€2.00m
Andreas Gruber,https://www.transfermarkt.com/andreas-gruber/profil/spieler/194477,Right Winger,29,Austria,,,33,6,3,9,€800k
Timothy Weah,https://www.transfermarkt.com/timothy-weah/profil/spieler/370846,Right Winger,24,"United States, France",,,33,5,4,9,€17.00m
Ángel Correa,https://www.transfermarkt.com/angel-correa/profil/spieler/266807,Right Winger,29,"Argentina, Spain",,,37,5,4,9,€10.00m
Youssouf Soukouna,https://www.transfermarkt.com/youssouf-soukouna/profil/spieler/804849,Right Winger,24,"France, Mali",,,34,5,4,9,€350k
Simone Saporetti,https://www.transfermarkt.com/simone-saporetti/profil/spieler/362913,Right Winger,26,Italy,,,34,5,4,9,€200k
Dominik Gembicky,https://www.transfermarkt.com/dominik-gembicky/profil/spieler/599612,Right Winger,24,Czech Republic,,,31,5,4,9,€150k
Jimmy Evans,https://www.transfermarkt.com/jimmy-evans/profil/spieler/801069,Right Winger,25,Nigeria,,,29,5,4,9,€150k
Leandro Alves,https://www.transfermarkt.com/leandro-alves/profil/spieler/710860,Right Winger,25,Brazil,,,19,5,4,9,€75k
Dennis Man,https://www.transfermarkt.com/dennis-man/profil/spieler/397486,Right Winger,25,Romania,,,34,4,5,9,€10.00m
Artur,https://www.transfermarkt.com/artur/profil/spieler/440658,Right Winger,26,Brazil,,,19,4,5,9,€8.00m
Erik Jirka,https://www.transfermarkt.com/erik-jirka/profil/spieler/339693,Right Winger,26,Slovakia,,,15,4,5,9,€600k
Manuele Malotti,https://www.transfermarkt.com/manuele-malotti/profil/spieler/451354,Right Winger,27,Italy,,,30,4,5,9,€250k
Nicolas Pépé,https://www.transfermarkt.com/nicolas-pepe/profil/spieler/343052,Right Winger,29,"Cote d'Ivoire, France",,,28,3,6,9,€6.00m
Jan Zaviska,https://www.transfermarkt.com/jan-zaviska/profil/spieler/301020,Right Winger,28,Czech Republic,,,30,3,6,9,€175k
Sergey Serchenkov,https://www.transfermarkt.com/sergey-serchenkov/profil/spieler/282644,Right Winger,27,Russia,,,33,3,6,9,-
Patrick Roberts,https://www.transfermarkt.com/patrick-roberts/profil/spieler/225452,Right Winger,27,England,,,45,2,7,9,€5.00m
Yuri Araújo,https://www.transfermarkt.com/yuri-araujo/profil/spieler/391887,Right Winger,28,Brazil,,,31,8,0,8,€350k
Dejan Misic,https://www.transfermarkt.com/dejan-misic/profil/spieler/181209,Right Winger,28,Austria,,,28,8,0,8,-
Qendrim Bakija,https://www.transfermarkt.com/qendrim-bakija/profil/spieler/1018417,Right Winger,24,"Belgium, Kosovo",,,20,8,0,8,-
Daniel Moreno,https://www.transfermarkt.com/daniel-moreno/profil/spieler/600842,Right Winger,29,Colombia,,,18,7,1,8,€500k
Dmytro Shastal,https://www.transfermarkt.com/dmytro-shastal/profil/spieler/359796,Right Winger,28,Ukraine,,,23,7,1,8,€200k
Antony,https://www.transfermarkt.com/antony/profil/spieler/602105,Right Winger,24,Brazil,,,27,6,2,8,€35.00m
Harry Wilson,https://www.transfermarkt.com/harry-wilson/profil/spieler/279455,Right Winger,27,"Wales, England",,,27,6,2,8,€15.00m
Curro Sánchez,https://www.transfermarkt.com/curro-sanchez/profil/spieler/208116,Right Winger,28,Spain,,,35,6,2,8,€2.00m
Dimitrios Mavrias,https://www.transfermarkt.com/dimitrios-mavrias/profil/spieler/304225,Right Winger,27,Greece,,,19,6,2,8,€400k
Elijah Just,https://www.transfermarkt.com/elijah-just/profil/spieler/485672,Right Winger,24,New Zealand,,,19,6,2,8,€300k
Tetê,https://www.transfermarkt.com/tete/profil/spieler/371256,Right Winger,24,Brazil,,,28,5,3,8,€11.00m
Mathieu Cafaro,https://www.transfermarkt.com/mathieu-cafaro/profil/spieler/399383,Right Winger,27,France,,,27,5,3,8,€2.50m
Daisuke Yokota,https://www.transfermarkt.com/daisuke-yokota/profil/spieler/602781,Right Winger,24,Japan,,,29,5,3,8,€2.50m
Gil Dias,https://www.transfermarkt.com/gil-dias/profil/spieler/329723,Right Winger,27,Portugal,,,32,5,3,8,€1.50m
Alassane Ndao,https://www.transfermarkt.com/alassane-ndao/profil/spieler/569777,Right Winger,27,Senegal,,,36,5,3,8,€1.20m
Bogdan Boychuk,https://www.transfermarkt.com/bogdan-boychuk/profil/spieler/337198,Right Winger,28,Ukraine,,,24,5,3,8,€400k
Ebrima Colley,https://www.transfermarkt.com/ebrima-colley/profil/spieler/567217,Right Winger,24,The Gambia,,,30,4,4,8,€2.00m
Isaiah Young,https://www.transfermarkt.com/isaiah-young/profil/spieler/433956,Right Winger,26,United States,,,34,4,4,8,€300k
Mustafa Çeçenoğlu,https://www.transfermarkt.com/mustafa-cecenoglu/profil/spieler/299232,Right Winger,30,Türkiye,,,28,4,4,8,-
Nathan Tella,https://www.transfermarkt.com/nathan-tella/profil/spieler/340322,Right Winger,24,"Nigeria, England",,,33,3,5,8,€15.00m
Matteo Politano,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895,Right Winger,30,Italy,,,39,3,5,8,€10.00m
Antoine Bernier,https://www.transfermarkt.com/antoine-bernier/profil/spieler/340343,Right Winger,26,Belgium,,,29,3,5,8,€1.50m
Denis Makarov,https://www.transfermarkt.com/denis-makarov/profil/spieler/599203,Right Winger,26,Russia,,,20,3,5,8,€1.20m
Mees Kaandorp,https://www.transfermarkt.com/mees-kaandorp/profil/spieler/404694,Right Winger,26,Netherlands,,,30,3,5,8,€250k
Cristian Souza,https://www.transfermarkt.com/cristian-souza/profil/spieler/391237,Right Winger,28,"Uruguay, Italy",,,33,3,5,8,€200k
Nikita Kasatkin,https://www.transfermarkt.com/nikita-kasatkin/profil/spieler/334431,Right Winger,27,Russia,,,28,2,6,8,€225k
Gustavo Silva,https://www.transfermarkt.com/gustavo-silva/profil/spieler/1047860,Right Winger,25,Brazil,,,21,7,0,7,€3.00m
Munir El Haddadi,https://www.transfermarkt.com/munir-el-haddadi/profil/spieler/223725,Right Winger,28,"Morocco, Spain",,,29,7,0,7,€1.50m
Dominik Starkl,https://www.transfermarkt.com/dominik-starkl/profil/spieler/158214,Right Winger,30,Austria,,,23,7,0,7,-
Tahiru Awudu,https://www.transfermarkt.com/tahiru-awudu/profil/spieler/579649,Right Winger,24,Ghana,,,19,6,1,7,€250k
Muhammet Enes Erdem,https://www.transfermarkt.com/muhammet-enes-erdem/profil/spieler/619782,Right Winger,25,Türkiye,,,32,6,1,7,€125k
Samuel Chukwueze,https://www.transfermarkt.com/samuel-chukwueze/profil/spieler/401922,Right Winger,25,Nigeria,,,29,5,2,7,€10.00m
Tijjani Noslin,https://www.transfermarkt.com/tijjani-noslin/profil/spieler/457736,Right Winger,24,Netherlands,,,32,5,2,7,€7.50m
Roberto Insigne,https://www.transfermarkt.com/roberto-insigne/profil/spieler/200174,Right Winger,30,Italy,,,27,5,2,7,€900k
Kemo Cissé,https://www.transfermarkt.com/kemo-cisse/profil/spieler/806494,Right Winger,27,"France, Senegal",,,28,5,2,7,€300k
Artem Gurenko,https://www.transfermarkt.com/artem-gurenko/profil/spieler/214119,Right Winger,30,Belarus,,,34,5,2,7,€250k
Mamadou Kanoute,https://www.transfermarkt.com/mamadou-kanoute/profil/spieler/201734,Right Winger,30,"Senegal, Italy",,,29,5,2,7,€200k
Andriy Bliznichenko,https://www.transfermarkt.com/andriy-bliznichenko/profil/spieler/177818,Right Winger,29,Ukraine,,,18,5,2,7,€100k
Nico González,https://www.transfermarkt.com/nico-gonzalez/profil/spieler/486031,Right Winger,26,"Argentina, Italy",,,29,4,3,7,€24.00m
Jota Silva,https://www.transfermarkt.com/jota-silva/profil/spieler/663244,Right Winger,24,Portugal,,,37,4,3,7,€15.00m
Grady Diangana,https://www.transfermarkt.com/grady-diangana/profil/spieler/342048,Right Winger,26,"DR Congo, England",,,35,4,3,7,€3.50m
Godson Kyeremeh,https://www.transfermarkt.com/godson-kyeremeh/profil/spieler/651973,Right Winger,24,"France, Ghana",,,33,4,3,7,€700k
Corenthyn Lavie,https://www.transfermarkt.com/corenthyn-lavie/profil/spieler/332140,Right Winger,27,France,,,30,4,3,7,€300k
Víctor Pastrana,https://www.transfermarkt.com/victor-pastrana/profil/spieler/355397,Right Winger,27,Spain,,,34,4,3,7,€250k
Reeco Hackett,https://www.transfermarkt.com/reeco-hackett/profil/spieler/459843,Right Winger,26,"St. Lucia, England",,,36,4,3,7,€250k
Pol Roigé,https://www.transfermarkt.com/pol-roige/profil/spieler/166680,Right Winger,30,Spain,,,33,4,3,7,€200k
Iñigo Muñoz,https://www.transfermarkt.com/inigo-munoz/profil/spieler/442767,Right Winger,27,Spain,,,39,4,3,7,€200k
Federico Ricci,https://www.transfermarkt.com/federico-ricci/profil/spieler/198086,Right Winger,30,Italy,,,28,4,3,7,€150k
Adam Fotr,https://www.transfermarkt.com/adam-fotr/profil/spieler/642907,Right Winger,27,Czech Republic,,,26,4,3,7,-
Daniele Verde,https://www.transfermarkt.com/daniele-verde/profil/spieler/256361,Right Winger,28,Italy,,,36,3,4,7,€900k
Martijn Berden,https://www.transfermarkt.com/martijn-berden/profil/spieler/258335,Right Winger,26,Netherlands,,,26,3,4,7,€275k
Mohamed Salah,https://www.transfermarkt.com/mohamed-salah/profil/spieler/148455,Right Winger,32,Egypt,,,43,31,19,50,€50.00m
Dušan Tadić,https://www.transfermarkt.com/dusan-tadic/profil/spieler/36139,Right Winger,35,Serbia,,,37,11,14,25,€2.20m
Ángel Di María,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320,Right Winger,36,"Argentina, Italy",,,31,14,8,22,€2.00m
José Callejón,https://www.transfermarkt.com/jose-callejon/profil/spieler/61253,Right Winger,37,Spain,,,41,11,10,21,-
Daryl van Mieghem,https://www.transfermarkt.com/daryl-van-mieghem/profil/spieler/177821,Right Winger,34,Netherlands,,,35,10,11,21,€250k
Mamadou Fall,https://www.transfermarkt.com/mamadou-fall/profil/spieler/289713,Right Winger,32,Senegal,,,36,10,9,19,€800k
Neto,https://www.transfermarkt.com/neto/profil/spieler/195371,Right Winger,31,Brazil,,,34,10,9,19,€50k
Vukadin Vukadinovic,https://www.transfermarkt.com/vukadin-vukadinovic/profil/spieler/84813,Right Winger,33,Serbia,,,29,9,10,19,€200k
Amilton,https://www.transfermarkt.com/amilton/profil/spieler/227676,Right Winger,34,Brazil,,,32,8,11,19,€100k
Sertaç Çam,https://www.transfermarkt.com/sertac-cam/profil/spieler/169698,Right Winger,31,Türkiye,,,32,13,4,17,€175k
Sıddık İstemi,https://www.transfermarkt.com/siddik-istemi/profil/spieler/124058,Right Winger,33,Türkiye,,,31,7,9,16,€50k
Nico Siegrist,https://www.transfermarkt.com/nico-siegrist/profil/spieler/110358,Right Winger,33,Switzerland,,,31,5,10,15,€25k
Deniz Türüç,https://www.transfermarkt.com/deniz-turuc/profil/spieler/216662,Right Winger,31,"Türkiye, Netherlands",,,37,6,8,14,€1.20m
Edin Visca,https://www.transfermarkt.com/edin-visca/profil/spieler/109217,Right Winger,34,Bosnia-Herzegovina,,,35,6,7,13,€1.20m
Cebio Soukou,https://www.transfermarkt.com/cebio-soukou/profil/spieler/85000,Right Winger,31,"Benin, Germany",,,34,6,7,13,€250k
Josan,https://www.transfermarkt.com/josan/profil/spieler/277533,Right Winger,34,Spain,,,32,4,9,13,€450k
Pedro,https://www.transfermarkt.com/pedro/profil/spieler/65278,Right Winger,36,Spain,,,32,10,2,12,€1.00m
Renato Steffen,https://www.transfermarkt.com/renato-steffen/profil/spieler/194638,Right Winger,32,Switzerland,,,29,7,5,12,€900k
Odise Roshi,https://www.transfermarkt.com/odise-roshi/profil/spieler/99003,Right Winger,33,Albania,,,35,7,5,12,€125k
José Corpas,https://www.transfermarkt.com/jose-corpas/profil/spieler/379534,Right Winger,32,Spain,,,34,6,6,12,€750k
Jonathan Biabiany,https://www.transfermarkt.com/jonathan-biabiany/profil/spieler/45567,Right Winger,36,"France, Guadeloupe",,,35,6,6,12,€100k
Pavel Moulis,https://www.transfermarkt.com/pavel-moulis/profil/spieler/195503,Right Winger,33,Czech Republic,,,21,9,2,11,€100k
Filippo Guccione,https://www.transfermarkt.com/filippo-guccione/profil/spieler/252743,Right Winger,31,Italy,,,35,5,6,11,€250k
Antonio Puertas,https://www.transfermarkt.com/antonio-puertas/profil/spieler/262365,Right Winger,32,Spain,,,42,5,5,10,€1.00m
Antoine Larose,https://www.transfermarkt.com/antoine-larose/profil/spieler/775330,Right Winger,31,France,,,36,5,5,10,€500k
Pablo Hervías,https://www.transfermarkt.com/pablo-hervias/profil/spieler/142027,Right Winger,31,Spain,,,36,4,6,10,€150k
Garath McCleary,https://www.transfermarkt.com/garath-mccleary/profil/spieler/69653,Right Winger,37,"Jamaica, England",,,49,4,6,10,€75k
Yvan Yagan,https://www.transfermarkt.com/yvan-yagan/profil/spieler/124198,Right Winger,34,"Armenia, Belgium",,,24,9,0,9,-
Andriy Yarmolenko,https://www.transfermarkt.com/andriy-yarmolenko/profil/spieler/69015,Right Winger,34,Ukraine,,,24,8,1,9,€1.50m
Junya Ito,https://www.transfermarkt.com/junya-ito/profil/spieler/348791,Right Winger,31,Japan,,,38,4,5,9,€6.00m
Nikolaos Kaltsas,https://www.transfermarkt.com/nikolaos-kaltsas/profil/spieler/73700,Right Winger,34,Greece,,,30,7,1,8,€200k
Sam Hoskins,https://www.transfermarkt.com/sam-hoskins/profil/spieler/198861,Right Winger,31,England,,,38,7,1,8,€150k
Karim Tlili,https://www.transfermarkt.com/karim-tlili/profil/spieler/491779,Right Winger,34,"France, Tunisia",,,26,7,1,8,€150k
Brandley Kuwas,https://www.transfermarkt.com/brandley-kuwas/profil/spieler/232219,Right Winger,31,"Curacao, Netherlands",,,30,5,3,8,€300k
Simon Skarlatidis,https://www.transfermarkt.com/simon-skarlatidis/profil/spieler/139942,Right Winger,33,"Germany, Greece",,,37,3,5,8,€150k
Loris Brogno,https://www.transfermarkt.com/loris-brogno/profil/spieler/182420,Right Winger,31,"Belgium, Italy",,,20,7,0,7,-
Jordan Ayew,https://www.transfermarkt.com/jordan-ayew/profil/spieler/108354,Right Winger,32,"Ghana, France",,,36,6,1,7,€2.50m
Renaud Ripart,https://www.transfermarkt.com/renaud-ripart/profil/spieler/234802,Right Winger,31,France,,,17,6,1,7,€500k
Billy Bodin,https://www.transfermarkt.com/billy-bodin/profil/spieler/130229,Right Winger,32,"Wales, England",,,30,6,1,7,€100k
Tom Ince,https://www.transfermarkt.com/tom-ince/profil/spieler/157368,Right Winger,32,"England, Barbados",,,36,5,2,7,€500k
Kévin Testud,https://www.transfermarkt.com/kevin-testud/profil/spieler/415863,Right Winger,32,France,,,28,5,2,7,€200k
Pedro León,https://www.transfermarkt.com/pedro-leon/profil/spieler/51587,Right Winger,37,Spain,,,34,4,3,7,€100k
Augusto Batioja,https://www.transfermarkt.com/augusto-batioja/profil/spieler/144782,Right Winger,34,Ecuador,,,32,4,3,7,€75k
Daniel Candeias,https://www.transfermarkt.com/daniel-candeias/profil/spieler/56046,Right Winger,36,Portugal,,,35,4,3,7,€50k
Erik Lamela,https://www.transfermarkt.com/erik-lamela/profil/spieler/111630,Right Winger,32,"Argentina, Spain",,,23,4,3,7,-
Nathaniel Méndez-Laing,https://www.transfermarkt.com/nathaniel-mendez-laing/profil/spieler/125409,Right Winger,32,"Guatemala, England",,,44,3,4,7,€300k
Steven Berghuis,https://www.transfermarkt.com/steven-berghuis/profil/spieler/129554,Right Winger,32,Netherlands,,,28,2,5,7,€3.50m
Geraldo,https://www.transfermarkt.com/geraldo/profil/spieler/127169,Right Winger,32,"Angola, Brazil",,,28,2,5,7,€125k
Leslie Bamona Lubelu,https://www.transfermarkt.com/leslie-bamona-lubelu/profil/spieler/215128,Right Winger,31,DR Congo,,,23,6,0,6,-
Duncan Watmore,https://www.transfermarkt.com/duncan-watmore/profil/spieler/248045,Right Winger,30,England,,,29,5,1,6,€600k
Adrián Alvarez,https://www.transfermarkt.com/adrian-alvarez/profil/spieler/44857,Right Winger,33,"Switzerland, Portugal",,,29,5,1,6,€25k
Younes Namli,https://www.transfermarkt.com/younes-namli/profil/spieler/227039,Right Winger,30,"Denmark, Morocco",,,18,4,2,6,€1.30m
Aylton Boa Morte,https://www.transfermarkt.com/aylton-boa-morte/profil/spieler/352811,Right Winger,30,"Portugal, Sao Tome and Principe",,,19,4,2,6,€1.20m
Rachid Ghezzal,https://www.transfermarkt.com/rachid-ghezzal/profil/spieler/118287,Right Winger,32,"Algeria, France",,,25,4,2,6,€800k
Fer Ruiz,https://www.transfermarkt.com/fer-ruiz/profil/spieler/149483,Right Winger,32,Spain,,,31,4,2,6,€150k
Alireza Jahanbakhsh,https://www.transfermarkt.com/alireza-jahanbakhsh/profil/spieler/213268,Right Winger,30,"Iran, Netherlands",,,20,3,3,6,€1.50m
Halil Akbunar,https://www.transfermarkt.com/halil-akbunar/profil/spieler/212229,Right Winger,30,Türkiye,,,33,3,3,6,€850k
Nicola Valente,https://www.transfermarkt.com/nicola-valente/profil/spieler/383876,Right Winger,32,Italy,,,20,2,4,6,€300k
