name,player_link,position,age,nation,club,league,matches,goals,assists,points(goals+assists),value
Sebastiano Esposito,https://www.transfermarkt.com/sebastiano-esposito/profil/spieler/538918,Second Striker,21,Italy,,,37,10,2,12,€8.50m
Callum Lang,https://www.transfermarkt.com/callum-lang/profil/spieler/425865,Second Striker,25,England,,,33,10,2,12,€2.80m
Juan Manuel Boselli,https://www.transfermarkt.com/juan-manuel-boselli/profil/spieler/487421,Second Striker,24,"Uruguay, Italy",,,29,10,2,12,€1.20m
Jacopo Manconi,https://www.transfermarkt.com/jacopo-manconi/profil/spieler/240206,Second Striker,30,Italy,,,33,9,3,12,€400k
Adam Hlozek,https://www.transfermarkt.com/adam-hlozek/profil/spieler/552057,Second Striker,21,Czech Republic,,,29,8,3,11,€18.00m
Filip Kubala,https://www.transfermarkt.com/filip-kubala/profil/spieler/339077,Second Striker,24,Czech Republic,,,31,7,4,11,€650k
Tomas Ladra,https://www.transfermarkt.com/tomas-ladra/profil/spieler/334803,Second Striker,27,Czech Republic,,,31,4,7,11,€1.00m
Taxiarchis Fountas,https://www.transfermarkt.com/taxiarchis-fountas/profil/spieler/192409,Second Striker,28,Greece,,,29,9,1,10,€3.00m
Ba-Muaka Simakala,https://www.transfermarkt.com/ba-muaka-simakala/profil/spieler/227974,Second Striker,27,"Germany, DR Congo",,,24,8,2,10,€450k
Denis Cazzadori,https://www.transfermarkt.com/denis-cazzadori/profil/spieler/815543,Second Striker,20,Italy,,,38,7,3,10,€200k
Federico Mastropietro,https://www.transfermarkt.com/federico-mastropietro/profil/spieler/386577,Second Striker,25,Italy,,,34,7,2,9,€300k
João Félix,https://www.transfermarkt.com/joao-felix/profil/spieler/462250,Second Striker,24,Portugal,,,34,6,3,9,€20.00m
Paulo Dybala,https://www.transfermarkt.com/paulo-dybala/profil/spieler/206050,Second Striker,30,"Argentina, Italy",,,25,6,3,9,€8.00m
Steven Skrzybski,https://www.transfermarkt.com/steven-skrzybski/profil/spieler/93827,Second Striker,31,Germany,,,25,6,3,9,€1.00m
Augustus Kargbo,https://www.transfermarkt.com/augustus-kargbo/profil/spieler/549791,Second Striker,24,Sierra Leone,,,30,5,4,9,€1.00m
Isi Palazón,https://www.transfermarkt.com/isi-palazon/profil/spieler/362086,Second Striker,29,Spain,,,38,4,5,9,€3.50m
Matteo Stoppa,https://www.transfermarkt.com/matteo-stoppa/profil/spieler/391899,Second Striker,23,Italy,,,25,4,5,9,€350k
Tommaso De Nipoti,https://www.transfermarkt.com/tommaso-de-nipoti/profil/spieler/622031,Second Striker,20,Italy,,,17,2,7,9,€450k
André Ribeiro,https://www.transfermarkt.com/andre-ribeiro/profil/spieler/342482,Second Striker,27,"Portugal, Switzerland",,,19,8,0,8,€200k
Giacomo Raspadori,https://www.transfermarkt.com/giacomo-raspadori/profil/spieler/405885,Second Striker,24,Italy,,,29,6,2,8,€25.00m
Albert Gudmundsson,https://www.transfermarkt.com/albert-gudmundsson/profil/spieler/305947,Second Striker,27,Iceland,,,25,6,2,8,€18.00m
Tommaso Biasci,https://www.transfermarkt.com/tommaso-biasci/profil/spieler/240129,Second Striker,29,Italy,,,32,6,2,8,€750k
